Filename  Score  S*cd_c  Dc  L/D_c  LDc  Cm  Cmc  CL_max  CLs
fx60160   2.70 0.1117    3  39.40    3 -0.6982    3 1.30    3 
ah93w480b   2.70 0.3564    1  15.31    1 -1.1185    1 2.23   10 
usa33   2.65 0.1159    3  35.50    2 -0.3220   10 1.30    3 
marske2   2.65 0.1088    3  34.43    2 -0.1203   10 1.32    3 
n5h15   2.60 0.1077    3  39.06    3 -0.3966    9 1.16    1 
goe735   2.60 0.1213    2  36.95    2 -0.3225   10 1.33    4 
fxs21158   2.60 0.1178    2  36.51    2 -0.5829    6 1.38    5 
fx6617ai   2.55 0.1469    1  27.80    1 -0.5584    6 1.50    8 
fx66a175   2.55 0.1321    2  33.65    2 -0.6136    5 1.40    5 
e431   2.55 0.1177    2  36.95    2 -0.6051    5 1.39    5 
bambino6   2.50 0.1137    3  38.38    3 -0.5445    7 1.12    1 
e1200   2.50 0.1459    1  28.75    1 -0.6050    5 1.49    8 
tempest1   2.45 0.1034    4  35.08    2 -0.3912    9 1.06    1 
sc20714   2.45 0.1205    2  32.11    2 -0.5195    7 1.36    4 
sc20518   2.45 0.1402    1  25.44    1 -0.4576    8 1.45    7 
naca633418   2.45 0.1185    2  33.14    2 -0.5166    7 1.33    4 
e326   2.45 0.1121    3  31.77    2 -0.1145   10 1.23    2 
e654   2.40 0.1690    1  25.02    1 -0.7169    3 1.50    8 
e642   2.40 0.1176    2  39.52    3 -0.5846    6 1.24    2 
fx69pr281   2.35 0.1458    1  34.25    2 -0.7659    2 1.44    6 
s4158   2.35 0.1143    3  34.69    2 -0.6340    4 1.30    3 
miley   2.30 0.2265    1  16.93    1 -0.4168    9 1.43    6 
goe703   2.30 0.1319    2  35.26    2 -0.4969    8 1.30    3 
naca643418   2.25 0.1227    2  31.84    2 -0.5253    7 1.31    3 
fx61184   2.25 0.1381    1  31.61    2 -0.6626    4 1.39    5 
fx66182   2.20 0.1387    1  29.91    1 -0.5516    7 1.43    6 
fx6617a2   2.20 0.1408    1  28.59    1 -0.5182    7 1.43    6 
ah83150q   2.20 0.1398    1  32.65    2 -0.5078    7 1.34    4 
nn7mk20   2.15 0.1294    2  32.18    2 -0.6058    5 1.31    3 
ah80129   2.05 0.1208    2  38.88    3 -0.6839    3 1.16    1 
ah93w300   2.05 0.1623    1  24.39    1 -0.4944    8 1.40    5 
ste87391   2.00 0.1590    1  24.20    1 -0.6893    3 1.44    6 
marske5   2.00 0.1238    2  31.98    2 -0.0924   10 1.13    1 
fx83w160   1.95 0.1582    1  24.60    1 -0.7601    2 1.42    6 
ec863914   1.95 0.1415    1  30.74    1 -0.8272    2 1.41    6 
naca747a415   1.95 0.1236    2  33.98    2 -0.3725    9 1.19    1 
naca634421   1.90 0.1285    2  28.68    1 -0.4719    8 1.29    3 
n6h15   1.85 0.2042    1  22.30    1 -0.4863    8 1.32    4 
e542   1.85 0.1430    1  40.29    3 -0.6741    4 1.12    1 
ah93156   1.85 0.1315    2  37.01    2 -0.6958    3 1.23    2 
fx05188   1.80 0.1830    1  20.41    1 -0.5494    7 1.34    4 
r1082   1.75 0.1676    1  21.11    1 -0.3485   10 1.27    3 
fx62k153   1.75 0.1730    1  25.72    1 -0.8127    2 1.39    5 
naca652415   1.70 0.1192    2  30.74    1 -0.5029    8 1.23    2 
e604   1.70 0.1582    1  26.78    1 -0.6174    5 1.33    4 
e549   1.70 0.1197    2  30.94    1 -0.4528    8 1.25    2 
e682   1.65 0.1426    1  31.61    2 -0.6370    4 1.20    2 
ah94156   1.65 0.1359    1  35.08    2 -0.6661    4 1.23    2 
naca747a315   1.60 0.1317    2  28.99    1 -0.2623   10 1.16    1 
r1082t   1.50 0.1374    1  26.17    1 -0.3659    9 1.24    2 
e266   1.50 0.1738    1  21.72    1 -0.3867    9 1.20    2 
naca644421   1.45 0.1396    1  25.78    1 -0.4717    8 1.25    2 
ah79k132   1.45 0.1345    1  35.02    2 -0.6717    4 1.18    1 
fx79k144   1.40 0.1558    1  25.34    1 -0.5202    7 1.22    2 
ah93k131   1.40 0.1544    1  25.96    1 -0.5261    7 1.20    2 
e541   1.35 0.1690    1  34.15    2 -0.7807    2 1.12    1 
ah93k130   1.35 0.1687    1  25.01    1 -0.5775    6 1.19    2 
fxs03182   1.30 0.1831    1  21.75    1 -0.6288    5 1.20    2 
e543   1.30 0.1697    1  23.98    1 -0.3643    9 1.06    1 
fx78k161   1.25 0.2277    1  17.94    1 -0.4845    8 1.14    1 
dsma523b   1.20 0.1514    1  24.45    1 -0.5383    7 1.11    1 
ui1720   1.15 0.1643    1  29.95    1 -0.5549    6 0.98    1 
ah88k136   1.10 0.1795    1  24.94    1 -0.6212    5 1.12    1 
ah82150f   1.10 0.2223    1  17.13    1 -0.6197    5 1.13    1 
ah79k143   1.10 0.1584    1  28.54    1 -0.6311    5 1.12    1 
fx78k140a20   1.00 0.2119    1  19.75 1.00 -0.7188 3.00
