airfoil    clmax    cd0   cdc   clc   cm   m0   alpha0   alphaM
fx60100sm 1.447000 0.015340 0.010260 0.715000 -0.115000 0.095150 -5.514451 12.500000
fx60126 1.533700 0.013190 0.011940 0.719600 -0.113000 0.083441 -6.624039 15.000000
fx60157 1.337300 0.023500 0.018540 0.486300 -0.066000 0.077087 -4.308442 17.500000
fx60160 1.304400 0.015640 0.016120 0.635200 -0.100800 0.070840 -6.966685 15.500000
fx60177 1.313800 0.026570 0.021140 0.415300 -0.048900 0.086622 -2.794382 16.000000
fx61140 1.307200 0.012630 0.015950 0.633700 -0.088700 0.108845 -3.822016 9.000000
fx61147 1.441600 0.011310 0.015920 0.709900 -0.103600 0.102568 -4.921262 10.500000
fx61168 1.425700 0.013520 0.018900 0.686000 -0.098300 0.102984 -4.661229 10.500000
fx61184 1.393200 0.023280 0.021140 0.668200 -0.101400 0.106275 -4.287462 10.000000
fx62k153 1.387100 0.025210 0.025380 0.652900 -0.119200 0.076652 -6.517697 14.000000
fx63100 1.577400 0.019530 0.011110 0.861200 -0.147300 0.093386 -7.221919 12.500000
fx63110 1.608300 0.020120 0.011980 0.870500 -0.148300 0.084475 -8.304824 14.000000
fx63120 1.663100 0.020400 0.013190 1.004600 -0.178500 0.077715 -10.926694 14.500000
fx63137 1.706800 0.018840 0.014720 1.104700 -0.199900 0.061930 -15.837881 18.000000
fx63137sm 1.846400 0.018820 0.014850 1.112400 -0.202800 0.068105 -14.333603 18.000000
fx63143 1.191100 0.014620 0.013670 0.481500 -0.036600 0.096584 -2.985298 10.500000
fx63145 1.511500 0.020770 0.013670 0.810100 -0.119700 0.082100 -7.867235 14.000000
fx63158 1.469300 0.019630 0.017400 0.731000 -0.102500 0.101700 -5.187807 10.000000
fx6617a2 1.434000 0.015590 0.020820 0.595200 -0.076600 0.099624 -3.974464 10.500000
fx6617ai 1.502600 0.017160 0.021880 0.608300 -0.083200 0.101662 -3.983581 11.000000
fx66182 1.434900 0.015660 0.020740 0.620300 -0.082500 0.102946 -4.025480 11.000000
fx66a175 1.398500 0.015100 0.020220 0.680400 -0.093900 0.102952 -4.608881 9.000000
fx66s161 1.462400 0.014210 0.016990 0.660200 -0.092100 0.106936 -4.173786 10.500000
fx66s171 1.484600 0.015270 0.018090 0.654200 -0.090900 0.105508 -4.200496 11.000000
fx68h120 1.116100 0.014350 0.010430 0.515300 -0.044500 0.069623 -5.401305 15.500000
fx69h098 1.187200 0.010160 0.009910 0.445200 -0.033700 0.080827 -3.508042 12.500000
fx69pr281 1.436200 0.025900 0.022310 0.764200 -0.117200 0.072871 -8.487030 13.500000
fx71089a 0.798300 0.009270 0.011160 0.314000 -0.014600 0.114260 -0.748118 8.000000
fx71120 0.994900 0.009420 0.012470 0.301400 -0.008200 0.112346 -0.682780 11.000000
fx711520 1.062200 0.017120 0.016780 0.220300 0.001200 0.096310 -0.287397 12.500000
fx711525 1.028300 0.016340 0.015900 0.218700 0.001700 0.095386 -0.292796 12.000000
fx72150a 1.523100 0.046380 0.021960 1.160700 -0.215700 0.099013 -9.722664 7.000000
fx73cl1152 1.731300 0.036790 0.018370 0.754900 -0.108400 0.098110 -5.694398 12.500000
fx73cl2152 2.081600 0.019020 0.018960 1.155300 -0.207700 0.097488 -9.850750 14.000000
fx73cl3152 2.010200 0.059960 0.018930 1.070400 -0.175400 0.100258 -8.676448 13.500000
fx74cl5140 1.915400 0.063500 0.026020 1.393300 -0.242700 0.116940 -9.914657 8.000000
fx74cl6140 1.723100 0.055120 0.021100 0.946200 -0.137800 0.069520 -11.610472 16.500000
fx75vg166 1.134900 0.033730 0.034630 0.138600 0.014000 0.069080 -0.006369 17.000000
fx76mp120 1.734200 0.046060 0.021250 1.014700 -0.191300 0.093142 -8.894158 11.500000
fx77w121 1.411000 0.020770 0.016970 0.648000 -0.058900 0.110570 -3.860541 10.500000
fx77w153 1.554700 0.019790 0.018410 0.599000 -0.042700 0.100063 -3.986259 14.000000
fx78k140a20 1.180800 0.027430 0.029980 0.592100 -0.101700 0.070480 -6.400965 13.000000
fx78k161 1.138300 0.030040 0.031820 0.570800 -0.067700 0.118968 -2.797912 7.500000
fx78pk188 1.095000 0.039120 0.038510 -0.050200 0.014100 0.077081 2.651262 17.500000
fx79k144 1.219500 0.021270 0.021950 0.556200 -0.073300 0.078090 -5.122521 13.500000
fx79l100 0.885200 0.009620 0.009740 0.248300 -0.002700 0.114482 -0.168903 9.000000
fx79l120 1.023600 0.011330 0.011280 0.209900 0.004400 0.101304 -0.071987 11.500000
fx79w151a 1.332100 0.014710 0.013300 0.699400 -0.090200 0.107256 -4.520847 10.500000
fx83w108 1.418100 0.017420 0.013380 0.735200 -0.132200 0.081994 -6.966559 13.500000
fx83w160 1.417700 0.020100 0.021840 0.537200 -0.104900 0.070651 -5.603526 17.500000
fx83w227 1.374900 0.015960 0.017180 0.458500 -0.050700 0.077950 -3.881976 16.000000
fx84w097 1.219400 0.012490 0.010440 0.507100 -0.055400 0.092738 -3.468066 11.000000
fx84w127 1.329600 0.015690 0.012370 0.649300 -0.088400 0.072023 -7.015194 15.500000
fx84w140 1.371000 0.018470 0.013590 0.721800 -0.104800 0.064120 -9.257018 18.000000
fx84w150 1.391800 0.018260 0.014210 0.748500 -0.106500 0.099300 -5.537764 11.000000
fx84w175 1.452200 0.018970 0.017080 0.593000 -0.078500 0.092731 -4.394839 12.500000
fx84w218 1.346600 0.017130 0.018710 0.491000 -0.055100 0.074574 -4.584092 17.000000
fxl142k 1.123500 0.013400 0.013400 0.219000 0.001800 0.098107 -0.232264 13.000000
fxlv152 1.113700 0.015160 0.015080 0.231800 -0.002100 0.089770 -0.582163 14.500000
fxs02196 1.385400 0.016350 0.017100 0.699900 -0.101300 0.059220 -9.818642 18.000000
fxs03182 1.204300 0.020270 0.024950 0.542600 -0.085700 0.062095 -6.738261 17.000000
fxs21158 1.384500 0.017020 0.018020 0.658000 -0.089200 0.108873 -4.043754 9.000000
geminism 1.162000 0.011660 0.012780 0.549500 -0.062500 0.073253 -5.501405 15.000000
giiia 1.006700 0.012560 0.011130 0.400500 -0.020400 0.111623 -1.587968 11.000000
giiib 0.953500 0.012000 0.010520 0.392600 -0.022100 0.112209 -1.498838 9.500000
giiic 0.951300 0.011430 0.010490 0.384300 -0.022200 0.103575 -1.710355 10.000000
giiid 0.941800 0.011230 0.010490 0.384800 -0.023400 0.103513 -1.717406 9.500000
giiih 0.920100 0.010000 0.009400 0.416600 -0.036300 0.107105 -1.889631 8.500000
giiij 1.052000 0.012380 0.008960 0.417100 -0.032600 0.107709 -1.872468 10.000000
giiik 1.126800 0.012740 0.008840 0.414500 -0.029600 0.109746 -1.776898 11.000000
giiil 1.155400 0.014930 0.008850 0.412800 -0.027500 0.105208 -1.923656 11.500000
giiim 1.219700 0.003570 0.001050 0.399200 -0.020100 0.107911 -1.699341 11.500000
glennmartin2 1.449600 0.013580 0.014550 0.607200 -0.065400 0.088010 -4.899253 11.500000
glennmartin3 1.650400 0.023690 0.015560 0.797100 -0.097300 0.075492 -8.558781 14.000000
glennmartin4 1.447000 0.020660 0.016790 0.797900 -0.112400 0.113315 -5.041409 11.500000
gm15sm 1.368800 0.036010 0.009150 0.783900 -0.133500 0.114713 -4.833573 9.500000
goe100 1.015600 0.018720 0.009040 0.620300 -0.079100 0.124150 -2.996375 6.500000
goe114 0.978800 0.002180 0.000670 0.567000 -0.087900 0.094167 -4.021239 8.000000
goe116 1.066600 0.014290 0.014070 0.658500 -0.103200 0.099467 -4.620308 7.000000
goe118 1.142300 0.051180 0.011710 0.819100 -0.129700 0.096247 -6.510390 7.000000
goe122 1.261000 0.030320 0.001310 0.584300 -0.061500 0.090096 -4.485283 11.500000
goe12k 1.281900 0.028430 0.027480 0.380400 -0.071800 0.096715 -1.933200 14.500000
goe134 1.404200 0.027440 0.010620 0.624500 -0.077300 0.110054 -3.674495 11.000000
goe137 1.374100 0.033000 0.010670 0.670700 -0.084000 0.082690 -6.111051 13.000000
goe13k 1.370500 0.039390 0.039390 -0.026800 -0.010500 0.096076 2.278947 17.500000
goe14 1.317900 0.051030 0.009960 0.814300 -0.096400 0.106033 -5.679660 7.000000
goe140 1.335700 0.049220 0.003700 0.730000 -0.090700 0.102174 -5.144681 9.500000
goe143 1.258700 0.015060 0.001570 0.600600 -0.070100 0.103722 -3.790493 9.500000
goe144 1.395500 0.019140 0.010310 0.718200 -0.102100 0.095289 -5.537080 11.500000
goe147 1.341700 0.013720 0.010280 0.560700 -0.054700 0.100886 -3.557774 12.000000
goe155 1.427500 0.046680 0.010440 0.726400 -0.096500 0.090489 -6.027505 11.500000
goe15k 1.204200 0.036320 0.036570 0.319500 -0.069100 0.108624 -0.941352 15.000000
goe164 1.576800 0.062730 0.013010 0.953600 -0.153500 0.105565 -7.033278 9.500000
goe165 1.465100 0.023960 0.015910 0.900700 -0.151000 0.099391 -7.062161 9.500000
goe167 1.261800 0.035410 0.002860 0.643900 -0.077200 0.109710 -3.869109 8.500000
goe173 1.457100 0.058790 0.010840 0.786700 -0.117600 0.073425 -8.714334 14.000000
goe176 1.511700 0.025480 0.011600 0.841500 -0.125300 0.094669 -6.888844 11.000000
goe178 1.263400 0.016960 0.002190 0.638100 -0.082700 0.082364 -5.747290 12.000000
goe180 1.405700 0.031120 0.010850 0.700000 -0.095100 0.082897 -6.444237 14.000000
goe182 1.586800 0.044380 0.012290 0.740000 -0.095000 0.107544 -4.880905 10.500000
goe184 1.449800 0.043060 0.010820 0.744700 -0.100100 0.076063 -7.790633 14.500000
goe190 1.619200 0.019300 0.015460 0.864300 -0.143500 0.097889 -6.829398 12.000000
goe195 1.510200 0.051740 0.010390 0.808700 -0.132300 0.082745 -7.773421 13.500000
goe198 1.590900 0.061290 0.014060 0.925000 -0.144800 0.094729 -7.764741 12.000000
goe199 1.445400 0.049620 0.013310 0.726000 -0.089200 0.081700 -6.886169 14.000000
goe217 1.861400 0.020240 0.021550 1.082800 -0.169400 0.075211 -12.396921 17.000000
goe222 1.781200 0.017340 0.017730 1.117300 -0.205200 0.095108 -9.747735 11.000000
goe223 1.571000 0.017040 0.017160 0.942900 -0.157200 0.100475 -7.384424 10.000000
goe225 1.851900 0.047620 0.014530 1.169000 -0.213700 0.087287 -11.392653 13.000000
goe226 1.926800 0.024070 0.015430 1.160500 -0.203900 0.092287 -10.574948 13.000000
goe227 1.858100 0.021940 0.017320 1.186800 -0.224600 0.095719 -10.398855 11.500000
goe228 1.927200 0.016670 0.017280 1.095700 -0.187400 0.093420 -9.728752 13.000000
goe229 1.344000 0.015900 0.018260 0.883600 -0.146800 0.047733 -16.511173 17.500000
goe233 1.793200 0.017840 0.017550 1.140100 -0.209300 0.095608 -9.924773 11.000000
goe234 1.914900 0.019820 0.022770 1.199500 -0.218200 0.083241 -12.409901 13.000000
goe235 1.399200 0.017180 0.012450 0.560700 -0.061100 0.099692 -3.624306 11.500000
goe238 1.432000 0.049310 0.016510 0.665100 -0.070400 0.105042 -4.331773 10.000000
goe239 1.677700 0.023030 0.012510 0.915000 -0.148200 0.101300 -7.032577 11.000000
goe241 1.994700 0.023970 0.020510 1.274500 -0.213500 0.073067 -15.442974 16.000000
goe242 1.822800 0.019740 0.020640 1.219200 -0.215400 0.095577 -10.756217 11.000000
goe243 1.995600 0.024950 0.019020 1.290500 -0.227000 0.065903 -17.581939 17.500000
goe244 2.126000 0.059680 0.020260 1.376100 -0.239400 0.099262 -11.863302 12.500000
goe255 1.470000 0.015610 0.016140 0.786900 -0.118700 0.088248 -6.916888 12.500000
goe256 1.498300 0.024990 0.013300 0.824100 -0.119600 0.093262 -6.836390 12.500000
goe257 1.392300 0.030080 0.011520 0.635900 -0.077600 0.094326 -4.741519 11.500000
goe264 1.487500 0.046200 0.012860 0.798800 -0.115200 0.094615 -6.442652 11.500000
goe265 1.735900 0.056340 0.015390 0.892300 -0.117800 0.104867 -6.508900 12.000000
goe269 1.493000 0.045240 0.013020 0.737200 -0.099700 0.104931 -5.025585 11.000000
goe275 1.410300 0.037210 0.002600 0.708400 -0.088600 0.097121 -5.293962 12.000000
goe276 1.282200 0.030370 0.001520 0.670500 -0.087400 0.113043 -3.931346 9.500000
goe279 1.379500 0.039950 0.000950 0.736700 -0.096700 0.103962 -5.086275 11.000000
goe281 1.439800 0.038880 0.001770 0.692600 -0.090000 0.079028 -6.764028 12.500000
goe282 1.444700 0.033330 0.010920 0.793800 -0.115700 0.100046 -5.934338 11.000000
goe284 1.699300 0.022280 0.016290 0.745000 -0.095000 0.091541 -6.138414 15.000000
goe285 1.386500 0.016870 0.010940 0.624900 -0.075300 0.102504 -4.096347 10.500000
goe287 1.412100 0.034530 0.011830 0.655500 -0.074600 0.093867 -4.983310 12.000000
goe288 1.908100 0.016240 0.016690 0.870500 -0.134500 0.095435 -7.121363 15.000000
goe289 1.654000 0.017320 0.014420 0.869200 -0.131900 0.086153 -8.088989 13.500000
goe290 1.467900 0.015320 0.015180 0.665700 -0.080600 0.090969 -5.317898 14.000000
goe298 1.689800 0.044780 0.014990 0.692800 -0.091700 0.087111 -5.953061 16.500000
goe29b 1.747600 0.065060 0.018290 0.832600 -0.106200 0.097300 -6.557040 14.000000
goe300 1.640100 0.055500 0.015270 0.853900 -0.113100 0.089240 -7.568579 13.500000
goe301 1.577400 0.052100 0.003510 0.904700 -0.129800 0.094738 -7.549448 11.000000
goe303 1.629100 0.050810 0.011710 0.858800 -0.124600 0.093862 -7.149596 12.500000
goe304 1.652100 0.056130 0.014660 0.894300 -0.134200 0.081375 -8.989862 14.500000
goe311 1.376000 0.039870 0.014510 0.732300 -0.091500 0.072419 -8.112022 14.500000
goe314 1.418900 0.043560 0.014360 0.637700 -0.069300 0.100231 -4.362318 11.000000
goe315 1.384700 0.036270 0.012830 0.590600 -0.058600 0.083860 -5.042690 13.500000
goe316 1.420800 0.032280 0.013700 0.595000 -0.056200 0.108617 -3.477981 10.000000
goe318 1.295000 0.031500 0.002050 0.546200 -0.045100 0.108043 -3.055372 9.500000
goe319 1.713000 0.039620 0.014670 0.756900 -0.084800 0.089612 -6.446436 15.000000
goe320 1.834400 0.060290 0.005220 0.803700 -0.095000 0.080789 -7.948150 16.000000
goe321 1.631500 0.041150 0.012490 0.690500 -0.072700 0.096581 -5.149421 14.500000
goe322 1.569800 0.050980 0.013570 0.794400 -0.093500 0.092073 -6.627905 13.000000
goe325 1.384800 0.034950 0.011180 0.682100 -0.086900 0.081228 -6.397393 13.500000
goe326 1.392500 0.042060 0.010290 0.695500 -0.086700 0.097754 -5.114810 11.000000
goe329 1.522400 0.043930 0.014250 0.805300 -0.112100 0.106619 -5.553059 9.500000
goe330 1.464500 0.042710 0.011080 0.842300 -0.122700 0.100455 -6.384887 9.500000
goe332 1.658100 0.047000 0.013250 0.929000 -0.145100 0.093657 -7.919158 12.000000
goe336 1.355700 0.045660 0.012300 0.718200 -0.084200 0.092862 -5.734095 11.500000
goe344 1.284700 0.013720 0.009110 0.525300 -0.056400 0.108889 -2.824184 11.500000
goe346 1.328200 0.034440 0.001650 0.612300 -0.077300 0.107952 -3.671965 10.500000
goe358 1.555900 0.019680 0.013420 0.883400 -0.153800 0.106592 -6.287702 10.000000
goe363 1.555100 0.045440 0.011560 0.822400 -0.109400 0.091221 -7.015426 12.000000
goe364 1.628000 0.047060 0.014360 0.842000 -0.102900 0.080238 -8.493846 14.500000
goe365 1.483500 0.038120 0.011770 0.819600 -0.108400 0.079052 -8.367910 14.000000
goe367 1.505700 0.020700 0.013660 0.811700 -0.114400 0.091687 -6.852978 13.000000
goe369 1.386900 0.052390 0.001070 0.720400 -0.082200 0.093423 -5.711157 11.000000
goe371 1.363200 0.039400 0.009640 0.723700 -0.101300 0.088529 -6.174762 12.000000
goe373 1.438300 0.045700 0.013270 0.725200 -0.094000 0.082826 -6.755725 13.500000
goe375 1.309000 0.042910 0.001900 0.616400 -0.058400 0.102858 -3.992708 10.500000
goe382 1.661700 0.022920 0.016750 0.898200 -0.116600 0.091186 -7.850174 12.500000
goe383 1.581400 0.019380 0.016660 0.753800 -0.086400 0.077108 -7.775885 16.500000
goe384 1.748900 0.032900 0.016440 0.920900 -0.125800 0.092847 -7.918504 13.000000
goe385 1.361700 0.030800 0.010900 0.644700 -0.073700 0.105939 -4.085570 9.500000
goe386 1.704600 0.019310 0.016680 0.808200 -0.105400 0.086131 -7.383334 15.500000
goe387 1.562700 0.040600 0.013360 0.840500 -0.114500 0.075667 -9.107930 16.000000
goe388 1.529000 0.049270 0.018640 0.686900 -0.104100 0.099470 -4.905630 11.000000
goe389 1.351300 0.020400 0.010410 0.665700 -0.089100 0.074044 -6.990631 14.500000
goe390 1.712900 0.021210 0.016430 0.938000 -0.133800 0.075303 -10.456367 15.500000
goe392 1.030600 0.033240 0.010940 0.781500 -0.127000 0.088824 -6.798344 7.000000
goe393 1.349700 0.033370 0.012970 0.542500 -0.050600 0.098511 -3.506993 12.000000
goe394 1.484600 0.040700 0.013370 0.789000 -0.116700 0.088507 -6.914535 12.500000
goe395 1.556800 0.059910 0.015870 0.934300 -0.158300 0.083252 -9.222605 13.500000
goe398 1.495600 0.019230 0.012060 0.805800 -0.106000 0.082638 -7.751021 14.000000
goe400 1.279300 0.025240 0.002290 0.630500 -0.076200 0.086844 -5.260107 12.000000
goe401 1.360600 0.045010 0.012590 0.650800 -0.075400 0.105991 -4.140126 9.500000
goe404 1.608700 0.046580 0.015080 0.700200 -0.080100 0.082667 -6.470161 16.000000
goe405 1.448400 0.036420 0.012530 0.911900 -0.144200 0.096287 -7.470649 9.500000
goe406 1.559500 0.030210 0.003870 0.683000 -0.078700 0.094307 -5.242293 12.000000
goe407 1.395000 0.040260 0.011340 0.809000 -0.112100 0.081297 -7.951222 13.500000
goe409 1.032100 0.012560 0.012350 0.321100 -0.013200 0.115431 -0.781754 11.000000
goe410 1.246300 0.013310 0.013400 0.221200 0.002700 0.094212 -0.347902 15.000000
goe411 0.811900 0.011880 0.012470 0.372000 -0.027800 0.143311 -0.595751 7.000000
goe412 1.492800 0.021800 0.013110 0.799800 -0.124200 0.083258 -7.606277 13.500000
goe413 1.559700 0.017430 0.014780 0.753000 -0.114600 0.068585 -8.979077 18.000000
goe414 1.373900 0.018250 0.012300 0.798500 -0.121300 0.103418 -5.721079 9.000000
goe416a 1.125200 0.012330 0.011440 0.415500 -0.042500 0.108520 -1.828787 10.500000
goe418 1.544800 0.035990 0.015110 0.670300 -0.094100 0.077954 -6.598629 15.500000
goe420 1.453100 0.016200 0.014400 0.677100 -0.101700 0.083769 -6.082967 14.000000
goe421 1.795100 0.019710 0.018870 1.073500 -0.187500 0.076312 -12.067294 15.000000
goe422 1.691600 0.026490 0.014220 0.930800 -0.140400 0.082994 -9.215302 14.000000
goe423 1.413500 0.020940 0.016730 0.828000 -0.126800 0.102200 -6.101761 10.000000
goe424 1.525600 0.019500 0.018980 0.713400 -0.082000 0.076700 -7.301173 16.000000
goe425 1.583000 0.018990 0.015030 0.707300 -0.090800 0.103836 -4.811722 12.000000
goe426 1.513300 0.034480 0.012850 0.716800 -0.100300 0.102617 -4.985220 11.000000
goe429 1.166600 0.010450 0.009980 0.215200 0.007600 0.108104 0.009319 11.500000
goe430 1.588100 0.017570 0.012650 0.863000 -0.154000 0.087860 -7.822445 13.000000
goe431 1.675000 0.023700 0.014220 1.052500 -0.194900 0.095733 -8.994081 11.000000
goe432 1.393100 0.025820 0.010150 0.691400 -0.089100 0.110664 -4.247741 10.500000
goe433 1.586200 0.016980 0.016180 0.833800 -0.137000 0.099948 -6.342326 11.500000
goe434 1.682200 0.019000 0.021300 0.861600 -0.140400 0.071475 -10.054565 18.000000
goe435 1.663000 0.021380 0.020500 0.820800 -0.130500 0.081389 -8.084954 15.500000
goe436 1.357000 0.020880 0.010920 0.652900 -0.081800 0.093000 -5.020430 12.500000
goe438 1.358700 0.027660 0.010720 0.665400 -0.084100 0.089893 -5.402106 13.000000
goe441 1.988100 0.026640 0.018710 1.160400 -0.199600 0.095193 -10.189929 13.000000
goe442 1.404000 0.027730 0.010110 0.692500 -0.089200 0.109800 -4.306922 10.500000
goe446 1.624400 0.046580 0.013800 0.933700 -0.157000 0.096846 -7.641064 11.000000
goe447 1.733000 0.050490 0.018210 1.051000 -0.180400 0.093638 -9.224020 11.500000
goe448 1.676000 0.059910 0.009530 1.221800 -0.215000 0.086325 -12.153490 10.000000
goe449 1.457100 0.021180 0.014800 0.927800 -0.142900 0.064374 -12.412722 17.500000
goe450 1.457200 0.036740 0.010740 0.809900 -0.127000 0.075800 -8.684697 13.500000
goe456 1.103800 0.048590 0.000720 0.762600 -0.119600 0.089844 -6.488004 7.500000
goe457 1.385900 0.029860 0.010320 0.692600 -0.092700 0.111046 -4.237046 11.000000
goe458 1.180700 0.026020 0.010280 0.790900 -0.126800 0.096367 -6.207195 7.500000
goe459 1.059200 0.010880 0.011830 0.342800 -0.019900 0.113300 -1.025596 12.000000
goe460 1.100900 0.013260 0.014000 0.204500 0.006300 0.110733 0.153221 10.000000
goe462 1.881400 0.069810 0.028790 1.282100 -0.184900 0.112017 -9.445618 10.000000
goe474 1.185600 0.014510 0.009360 0.584900 -0.079200 0.104984 -3.571325 10.500000
goe476 1.416000 0.024190 0.014090 0.843900 -0.125200 0.073718 -9.447734 15.000000
goe477 1.347400 0.026650 0.012020 0.761600 -0.111600 0.072112 -8.561276 14.000000
goe478 1.461600 0.021350 0.011760 0.763100 -0.110900 0.067713 -9.269653 17.500000
goe479 1.261400 0.005150 0.002070 0.678400 -0.089700 0.063903 -8.616139 16.500000
goe480 1.510500 0.043370 0.012220 0.811700 -0.120000 0.090764 -6.942945 12.000000
goe481 1.671000 0.080420 0.029410 0.959500 -0.158600 0.071863 -11.351765 18.000000
goe481a 1.521100 0.045510 0.015830 0.678300 -0.103200 0.076281 -6.892113 17.000000
goe482 1.936900 0.050480 0.018150 1.191400 -0.196700 0.086753 -11.733190 13.500000
goe484 1.396300 0.041950 0.010150 0.801400 -0.139100 0.109374 -5.327159 10.000000
goe488 1.217700 0.019570 0.009120 0.588100 -0.077800 0.107925 -3.449155 10.500000
goe490 1.267000 0.016340 0.009840 0.678800 -0.090700 0.084277 -6.054352 13.500000
goe491 1.066100 0.014280 0.008530 0.528900 -0.052600 0.110627 -2.780919 9.000000
goe493 1.281800 0.015110 0.012330 0.620800 -0.095300 0.066988 -7.267299 16.000000
goe495 1.355500 0.035720 0.010460 0.822800 -0.142900 0.103964 -5.914306 9.000000
goe496 1.482300 0.020960 0.010900 0.829000 -0.141700 0.077844 -8.649538 14.000000
goe497 1.526800 0.017660 0.012480 0.852600 -0.145500 0.075029 -9.363544 15.000000
goe498 1.543900 0.016380 0.014440 0.869600 -0.138200 0.075824 -9.468628 14.500000
goe499 1.280300 0.049130 0.012850 0.858100 -0.177600 0.112400 -5.634342 7.000000
goe500 1.536400 0.024810 0.011540 0.922300 -0.164700 0.072658 -10.693704 14.000000
goe501 1.595600 0.020890 0.013110 0.907200 -0.168600 0.086607 -8.474916 12.500000
goe502 1.610100 0.017730 0.015550 0.909300 -0.158300 0.094437 -7.628638 11.500000
goe503 1.499600 0.019730 0.015620 1.006700 -0.148300 0.079373 -10.683101 13.000000
goe504 1.381000 0.016890 0.014870 0.901500 -0.131900 0.083764 -8.762343 12.000000
goe505 1.388600 0.024980 0.013060 0.889000 -0.130500 0.085207 -8.433365 12.500000
goe506 1.363200 0.020400 0.014070 0.712200 -0.098100 0.088111 -6.082976 13.000000
goe507 1.216800 0.015270 0.009670 0.582700 -0.078600 0.097948 -3.949066 11.500000
goe508 1.554200 0.022800 0.014850 0.876800 -0.124100 0.068882 -10.729005 17.500000
goe509 1.415800 0.035120 0.012360 0.804800 -0.101500 0.090028 -6.939482 12.500000
goe510 1.421600 0.045180 0.014680 0.692400 -0.089200 0.083048 -6.337319 13.000000
goe511 1.662200 0.040340 0.018660 0.756900 -0.075200 0.084453 -6.962346 13.500000
goe512 1.524300 0.021160 0.013840 0.646500 -0.064200 0.082794 -5.808560 14.500000
goe513 1.575000 0.018090 0.016070 0.595200 -0.051600 0.078853 -5.548258 17.000000
goe514 1.562200 0.019550 0.016670 0.613300 -0.059700 0.088290 -4.946401 14.000000
goe515 1.176400 0.014660 0.009770 0.585500 -0.081000 0.099869 -3.862667 11.000000
goe517 1.301900 0.041230 0.009660 0.701100 -0.092400 0.093417 -5.505027 10.500000
goe518 1.631600 0.035980 0.017880 0.911500 -0.109100 0.082780 -9.011114 13.500000
goe522 1.609100 0.016690 0.017210 0.732700 -0.108200 0.070305 -8.421695 17.000000
goe523 2.083400 0.055920 0.019090 1.401600 -0.257800 0.085688 -14.356971 15.000000
goe525 2.083400 0.055920 0.019090 1.401600 -0.257800 0.085688 -14.356971 15.000000
goe527 1.600400 0.020420 0.014850 0.871100 -0.116000 0.069897 -10.462546 17.500000
goe528 1.646500 0.039460 0.012960 0.869500 -0.120100 0.089260 -7.741205 13.000000
goe529 1.457500 0.045490 0.012190 0.802000 -0.111400 0.102145 -5.851549 9.500000
goe530 1.478700 0.041190 0.012560 0.823500 -0.098600 0.086348 -7.536947 13.500000
goe532 1.583100 0.034600 0.012780 0.760300 -0.096100 0.070974 -8.712319 17.500000
goe533 1.604400 0.020920 0.012870 0.758900 -0.101100 0.093559 -6.111492 13.000000
goe534 1.663400 0.017720 0.015200 0.755300 -0.089100 0.081972 -7.214097 16.000000
goe535 1.730900 0.018830 0.016910 0.860600 -0.123400 0.081526 -8.556179 15.500000
goe546 1.365900 0.017500 0.010270 0.677900 -0.102200 0.089841 -5.545521 12.500000
goe547 1.305200 0.018460 0.011310 0.722700 -0.121500 0.075434 -7.580499 13.500000
goe548 1.041100 0.012890 0.010810 0.643700 -0.099300 0.096767 -4.652084 10.000000
goe549 1.512900 0.019900 0.013340 0.743300 -0.101700 0.093972 -5.909768 12.500000
goe550 1.388100 0.016170 0.013000 0.708600 -0.114200 0.099000 -5.157576 10.500000
goe553 1.613600 0.023060 0.012820 0.757300 -0.099400 0.093820 -6.071840 13.500000
goe562 1.464300 0.037960 0.015300 0.945000 -0.131100 0.088896 -8.630364 11.500000
goe563 1.193200 0.012700 0.009400 0.543200 -0.072200 0.105877 -3.130485 11.000000
goe564 1.212100 0.014910 0.009190 0.586000 -0.081500 0.107677 -3.442206 11.000000
goe566 1.220300 0.015860 0.009210 0.553100 -0.065200 0.095148 -3.813040 12.000000
goe567 1.526700 0.016630 0.014700 0.839300 -0.141900 0.099624 -6.424677 10.500000
goe571 1.066300 0.114880 0.029320 0.669600 -0.053600 -0.169844 5.942431 5.500000
goe572 1.519600 0.042120 0.019440 1.052200 -0.131700 0.078552 -11.394996 12.500000
goe573 1.557400 0.040500 0.016060 0.944300 -0.128100 0.103542 -7.120000 10.000000
goe575 1.406900 0.017620 0.014480 0.785000 -0.111600 0.094737 -6.286111 17.000000
goe584 1.434700 0.025160 0.012680 0.764100 -0.104500 0.080525 -7.488979 14.000000
goe585 1.299100 0.016050 0.009120 0.621000 -0.079200 0.095780 -4.483608 13.000000
goe591 1.407200 0.037430 0.011370 0.777200 -0.108500 0.093354 -6.325313 11.000000
goe592 1.503900 0.031990 0.004840 0.960900 -0.148000 0.078615 -10.222887 12.000000
goe593 1.354600 0.016680 0.010950 0.755900 -0.106500 0.093408 -6.092481 11.500000
goe595 1.199600 0.015600 0.009560 0.633400 -0.087900 0.094408 -4.709153 11.000000
goe596 1.370900 0.031300 0.010710 0.661400 -0.084500 0.079788 -6.289519 14.500000
goe599 1.097600 0.011130 0.009110 0.472700 -0.061100 0.113117 -2.178871 10.000000
goe600 1.244800 0.011830 0.011260 0.505100 -0.060800 0.085294 -3.921888 14.000000
