Filename  Powerreq Sreq Wingspan
e552 348.22 4.2072 2.9008 
e553 358.50 3.9526 2.8116 
e554 362.81 3.8709 2.7824 
e555 404.27 3.2404 2.5458 
e556 382.53 3.5330 2.6582 
e557 386.50 3.4668 2.6332 
e558 375.80 3.5662 2.6707 
e559 390.25 3.3808 2.6003 
e560 403.84 3.2248 2.5396 
e561 409.62 3.1602 2.5140 
e562 381.11 3.4918 2.6426 
e580 391.93 3.4489 2.6264 
e582 388.33 3.5799 2.6758 
e583 373.18 3.7966 2.7556 
e584 406.91 3.2913 2.5657 
e585 360.42 4.0777 2.8558 
e587 389.04 3.4822 2.6390 
e593 356.05 4.0659 2.8516 
e598 349.54 4.1244 2.8721 
e603 347.45 4.3858 2.9617 
e604 395.98 3.3882 2.6031 
e625 399.82 3.2457 2.5478 
e635 342.10 4.1996 2.8981 
e636 343.12 4.2173 2.9042 
e638 374.98 3.7301 2.7313 
e639 403.26 3.6177 2.6899 
e642 329.42 4.6165 3.0386 
e654 391.31 3.4693 2.6341 
e655 377.77 3.6084 2.6864 
e662 369.82 3.9772 2.8204 
e664 390.85 3.6186 2.6902 
e664ex 394.68 3.4346 2.6209 
e678 360.34 4.2135 2.9029 
e682 327.17 5.1178 3.1993 
e694 399.06 3.6496 2.7017 
e715 319.29 4.9570 3.1487 
e748 419.12 3.1292 2.5017 
e793 389.39 3.3662 2.5947 
e817 302.61 6.4475 3.5910 
e837 310.32 5.2714 3.2470 
e838 325.52 4.9693 3.1526 
e853 336.82 4.2110 2.9021 
e854 379.16 3.4788 2.6377 
e855 347.85 4.0010 2.8288 
e856 380.41 3.4987 2.6453 
e857 403.57 3.2352 2.5437 
e858 358.17 3.9627 2.8152 
e862 349.83 9.5583 4.3723 
ea61012 296.51 5.7790 3.3997 
ec863914 372.50 3.9261 2.8022 
eh2012 316.16 4.7252 3.0742 
eh3012 316.44 4.7268 3.0747 
esa40 329.39 4.3776 2.9589 
falcon 327.62 4.3613 2.9534 
fauvel 330.17 4.4231 2.9743 
fx05188 396.07 3.4413 2.6235 
fx05191 386.83 3.6261 2.6930 
fx057816 352.88 5.1591 3.2122 
fx05h126 346.53 4.8593 3.1175 
fx38153 362.34 4.2724 2.9232 
fx601001 348.02 4.0483 2.8455 
fx60126 401.99 3.2174 2.5367 
fx60157 406.91 3.3287 2.5802 
fx60160 391.31 3.3873 2.6028 
fx60177 390.79 3.6298 2.6944 
fx61140 317.53 4.7572 3.0845 
fx61147 342.38 4.0671 2.8520 
fx61168 343.19 4.1293 2.8738 
fx61184 352.65 4.3171 2.9384 
fx62k153 393.78 3.5491 2.6643 
fx63110 419.23 3.1285 2.5014 
fx63120 419.73 3.1272 2.5009 
fx63137 416.85 3.1362 2.5045 
fx63137sm 416.82 3.1362 2.5045 
fx63143 320.59 4.7880 3.0945 
fx63145 412.98 3.2086 2.5332 
fx63158 353.03 4.1463 2.8797 
fx6617a2 335.70 4.3941 2.9645 
fx6617ai 346.24 4.2034 2.8994 
fx66182 345.19 4.1672 2.8869 
fx66a175 327.39 4.6014 3.0336 
fx66s161 341.59 4.1909 2.8951 
fx66s171 348.91 4.0718 2.8537 
fx68h120 369.13 3.6773 2.7120 
fx69pr281 404.52 3.4062 2.6101 
fx71120 300.00 5.1459 3.2081 
fx711520 318.65 5.0570 3.1802 
fx711525 311.98 5.2853 3.2513 
fx75vg166 364.99 4.5389 3.0129 
fx77w121 352.04 4.2173 2.9042 
fx77w153 387.09 3.5286 2.6565 
fx78k140a20 375.89 3.9338 2.8049 
fx78k161 337.66 5.6923 3.3741 
fx78pk188 367.96 4.8897 3.1272 
fx79k144 368.93 3.8709 2.7824 
fx79l100 278.17 6.5012 3.6059 
fx79l120 297.33 5.4536 3.3026 
fx79w151a 347.16 4.0884 2.8595 
fx83w108 390.60 3.4304 2.6193 
fx83w160 404.53 3.2990 2.5687 
fx83w227 374.69 3.6289 2.6940 
fx84w127 394.41 3.3486 2.5879 
fx84w140 416.10 3.1390 2.5056 
fx84w150 365.07 3.8518 2.7755 
fx84w175 363.67 3.8999 2.7928 
fx84w218 390.55 3.4253 2.6174 
fxl142k 316.53 4.8425 3.1121 
fxlv152 333.13 4.4413 2.9804 
fxs02196 412.14 3.1517 2.5107 
fxs03182 392.39 3.4625 2.6315 
fxs21158 328.72 4.6764 3.0582 
geminism 367.27 3.6421 2.6989 
giiia 316.35 4.7913 3.0956 
giiib 298.54 5.4706 3.3077 
goe12k 377.85 3.9272 2.8026 
goe13k 383.82 4.2530 2.9165 
goe15k 395.30 3.8298 2.7676 
goe165 374.67 3.8444 2.7729 
goe167 359.90 4.9137 3.1349 
goe176 388.17 3.6458 2.7003 
goe190 395.03 3.4071 2.6104 
goe223 375.37 3.6440 2.6996 
goe229 411.28 3.1545 2.5118 
goe255 384.37 3.4797 2.6380 
goe256 403.82 3.3980 2.6069 
goe284 421.25 3.1376 2.5050 
goe285 341.78 4.2986 2.9321 
goe288 411.93 3.1524 2.5109 
goe290 386.57 3.4438 2.6244 
goe298 460.07 3.0294 2.4614 
goe319 445.07 3.1258 2.5003 
goe321 434.61 3.2859 2.5636 
goe329 397.16 4.0920 2.8608 
