Filename  Score  S*cd_c  Dc  L/D_c  LDc  Cm  Cmc  WF  WFs
ms313   3.40 0.0928    5  41.17    3 -0.4609    8 1.57    3 
goe298   3.40 0.0991    4  46.22    5 -0.6061    5 1.76    1 
fxs21158   3.40 0.1178    2  36.51    2 -0.5829    6 1.44    6 
fx66a175   3.40 0.1321    2  33.65    2 -0.6136    5 1.46    6 
e431   3.40 0.1177    2  36.95    2 -0.6051    5 1.45    6 
fx66s161   3.35 0.1114    3  38.86    3 -0.6041    5 1.53    4 
atr72sm   3.35 0.1058    3  38.50    3 -0.3290   10 1.55    4 
goe418   3.30 0.1018    4  44.36    4 -0.6341    4 1.61    2 
goe386   3.20 0.1054    3  48.45    5 -0.6661    4 1.78    1 
goe284   3.20 0.1049    3  45.73    5 -0.6116    5 1.77    1 
e856   3.20 0.1050    3  46.57    5 -0.7716    2 1.68    1 
fx61184   3.20 0.1381    1  31.61    2 -0.6626    4 1.45    6 
nlf0215f   3.15 0.1234    2  38.54    3 -0.7174    3 1.52    4 
e587   3.15 0.1276    2  38.04    3 -0.8153    2 1.51    4 
goe383   3.10 0.1089    3  45.25    4 -0.5646    6 1.65    2 
n6h15   3.10 0.2042    1  22.30    1 -0.4863    8 1.38    7 
fx05188   3.10 0.1830    1  20.41    1 -0.5494    7 1.39    7 
e604   3.10 0.1582    1  26.78    1 -0.6174    5 1.39    7 
fx61168   3.05 0.1230    2  36.30    2 -0.6400    4 1.49    5 
e583   3.05 0.1305    2  34.73    2 -0.5717    6 1.47    5 
e552   3.05 0.1211    2  33.36    2 -0.5517    7 1.50    5 
hq3518   3.00 0.1119    3  39.66    3 -0.6208    5 1.58    3 
goe741   3.00 0.1145    3  37.93    3 -0.2995   10 1.56    3 
e432   3.00 0.1141    3  37.66    3 -0.5336    7 1.56    3 
goe702   2.95 0.1018    4  41.37    4 -0.4054    9 1.70    1 
fx84w175   2.90 0.1169    3  34.72    2 -0.5373    7 1.52    4 
goe777   2.85 0.1339    1  33.81    2 -0.3470   10 1.49    5 
fx69pr281   2.85 0.1458    1  34.25    2 -0.7659    2 1.50    5 
goe424   2.80 0.1259    2  37.59    3 -0.5441    7 1.59    3 
goe522   2.75 0.1142    3  42.57    4 -0.7179    3 1.68    1 
e857   2.75 0.1156    3  43.28    4 -0.7608    2 1.70    1 
e1211   2.75 0.1091    3  42.29    4 -0.5836    6 1.77    1 
fx62k153   2.75 0.1730    1  25.72    1 -0.8127    2 1.45    6 
ah93w300   2.75 0.1623    1  24.39    1 -0.4944    8 1.46    6 
nlf416   2.70 0.1244    2  32.29    2 -0.4982    8 1.55    4 
mh82   2.70 0.0923    5  39.55    3 -0.1557   10 1.70    1 
fx66s171   2.70 0.1191    2  36.16    2 -0.5985    5 1.55    4 
ah80140   2.70 0.1231    2  32.97    2 -0.4038    9 1.54    4 
e748   2.55 0.1186    2  44.74    4 -0.8948    1 1.90    1 
e554   2.55 0.1146    3  36.74    2 -0.6025    5 1.56    3 
ste87391   2.40 0.1590    1  24.20    1 -0.6893    3 1.50    5 
miley   2.40 0.2265    1  16.93    1 -0.4168    9 1.49    5 
fx83w160   2.40 0.1582    1  24.60    1 -0.7601    2 1.48    5 
fx66182   2.40 0.1387    1  29.91    1 -0.5516    7 1.50    5 
fx6617a2   2.40 0.1408    1  28.59    1 -0.5182    7 1.50    5 
ec863914   2.40 0.1415    1  30.74    1 -0.8272    2 1.47    5 
hq300gd2   2.35 0.1294    2  32.75    2 -0.4931    8 1.57    3 
goe388   2.35 0.1218    2  36.85    2 -0.6803    4 1.60    3 
l7769   2.25 0.1306    2  26.96    1 -0.2459   10 1.52    4 
goe513   2.20 0.1118    3  37.04    2 -0.3589   10 1.64    2 
e1212   2.20 0.1078    3  35.13    2 -0.3775    9 1.67    2 
goe435   2.10 0.1296    2  40.04    3 -0.8248    2 1.74    1 
e1233   2.10 0.1190    2  37.13    3 -0.5135    7 1.73    1 
e1230   2.05 0.1024    4  37.03    2 -0.3324   10 1.72    1 
sc20518   2.05 0.1402    1  25.44    1 -0.4576    8 1.51    4 
goe770   2.00 0.1215    2  31.15    2 -0.2527   10 1.62    2 
fx77w153   2.00 0.1245    2  32.54    2 -0.2888   10 1.62    2 
ms317   1.90 0.1217    2  31.08    1 -0.4221    9 1.59    3 
goe434   1.90 0.1341    1  40.45    3 -0.8841    1 1.76    1 
e593   1.90 0.1225    2  30.43    1 -0.2738   10 1.58    3 
ah93w174   1.90 0.1296    2  29.90    1 -0.4793    8 1.59    3 
fx6617ai   1.70 0.1469    1  27.80    1 -0.5584    6 1.57    3 
e654   1.70 0.1690    1  25.02    1 -0.7169    3 1.56    3 
e1200   1.70 0.1459    1  28.75    1 -0.6050    5 1.55    3 
ls421mod   1.35 0.1432    1  30.33    1 -0.3981    9 1.64    2 
ls417   1.35 0.1463    1  28.99    1 -0.5975    5 1.61    2 
ls417mod   1.20 0.1331    2  28.90    1 -0.3875    9 1.72    1 
arad20   1.20 0.1210    2  30.51    1 -0.1520   10 1.74    1 
ah93w480b   1.00 0.3564    1  15.31 1.00 -1.1185 1.00
