 1.000000    0.000000           
    0.997260    0.000040           
    0.989070    0.000190           
    0.975530    0.000520           
    0.956770    0.001140           
    0.933010    0.002240           
    0.904510    0.003990           
    0.871570    0.006570           
    0.834570    0.010080           
    0.793890    0.014540           
    0.750000    0.019850           
    0.703370    0.025830           
    0.654510    0.032310           
    0.603960    0.039000           
    0.552260    0.045570           
    0.500000    0.051660           
    0.447740    0.056960           
    0.396040    0.061130           
    0.345490    0.063980           
    0.296630    0.065410           
    0.250000    0.065320           
    0.206110    0.063710           
    0.165430    0.060550           
    0.128430    0.055950           
    0.095490    0.050000           
    0.066990    0.042840           
    0.043230    0.034690           
    0.025630    0.026460           
    0.013590    0.018750           
    0.006110    0.012160           
    0.002640    0.007850           
    0.000590    0.003590           
    0.000000    0.000000           
    0.000680   -0.002320           
    0.002980   -0.004520           
    0.006600   -0.006620           
    0.012320   -0.008890           
    0.024160   -0.011930           
    0.043230   -0.014870           
    0.066990   -0.017110           
    0.095490   -0.018960           
    0.128430   -0.020430           
    0.165430   -0.021570           
    0.206110   -0.022370           
    0.250000   -0.022760           
    0.296630   -0.022810           
    0.345490   -0.022500           
    0.396040   -0.021830           
    0.447740   -0.020850           
    0.500000   -0.019620           
    0.552260   -0.018180           
    0.603960   -0.016570           
    0.654510   -0.014890           
    0.703370   -0.013170           
    0.750000   -0.011470           
    0.793890   -0.009790           
    0.834570   -0.008200           
    0.871570   -0.006700           
    0.904510   -0.005300           
    0.933010   -0.003980           
    0.956770   -0.002710           
    0.975530   -0.001560           
    0.989070   -0.000680           
    0.997260   -0.000160           
    1.000000    0.000000           
